,tragedy_id,tragedy_title,id,betweenness,degree,closeness,weightedDegree,eigenvector,numOfScenes,numOfSpeechActs,numOfWords,degree_rank,closeness_rank,betweenness_rank,weightedDegree_rank,eigenvector_rank,numOfScenes_rank,numOfSpeechActs_rank,numOfWords_rank,centrality_rank_avg,centrality_rank_std,centrality_rank_avg_rank,centrality_rank_std_rank
72,greek000031,Rhesus,hektor,0.13636363636363635,8,0.75,12,0.3882843354407687,5,55,1376,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.75,0.4629100498862757,2.0,2.0
73,greek000031,Rhesus,aineias,0.0,3,0.5714285714285714,3,0.21937050547286324,1,6,215,7.0,7.0,3.0,7.0,7.0,3.0,9.0,9.0,6.5,2.32992949004287,11.0,7.0
74,greek000031,Rhesus,dolon,0.0,3,0.5714285714285714,3,0.21937050547286324,1,16,225,7.0,7.0,3.0,7.0,7.0,3.0,4.0,8.0,5.75,2.052872551885702,8.0,5.0
75,greek000031,Rhesus,angelos_poimen,0.0,3,0.5714285714285714,3,0.21937050547286324,1,1,11,7.0,7.0,3.0,7.0,7.0,3.0,13.0,13.0,7.5,3.8172540616821107,12.0,11.0
76,greek000031,Rhesus,angelos,0.0,3,0.5714285714285714,3,0.21937050547286324,1,6,231,7.0,7.0,3.0,7.0,7.0,3.0,9.0,7.0,6.25,2.1213203435596424,10.0,6.0
77,greek000031,Rhesus,resos,0.0,2,0.5454545454545454,2,0.17755380786573682,1,10,371,13.0,13.0,3.0,13.0,13.0,3.0,7.0,5.0,8.75,4.713203338949606,13.0,13.0
78,greek000031,Rhesus,odysseus,0.0,4,0.6,4,0.24183916644779377,1,18,164,3.0,3.0,3.0,3.0,3.0,3.0,3.0,10.0,3.875,2.4748737341529163,3.0,8.0
79,greek000031,Rhesus,diomedes,0.0,4,0.6,4,0.24183916644779377,1,12,125,3.0,3.0,3.0,3.0,3.0,3.0,5.0,11.0,4.25,2.815771906346718,5.0,10.0
80,greek000031,Rhesus,athena,0.0,4,0.6,4,0.24183916644779377,1,8,323,3.0,3.0,3.0,3.0,3.0,3.0,8.0,6.0,4.0,1.927248223318863,4.0,3.0
81,greek000031,Rhesus,alexandros,0.0,4,0.6,4,0.24183916644779377,1,3,86,3.0,3.0,3.0,3.0,3.0,3.0,12.0,12.0,5.25,4.166190448976482,6.0,12.0
82,greek000031,Rhesus,heniochos,0.0,3,0.5714285714285714,3,0.21937050547286324,1,12,556,7.0,7.0,3.0,7.0,7.0,3.0,5.0,3.0,5.25,1.9820624179302297,6.0,4.0
83,greek000031,Rhesus,mousa,0.0,3,0.5714285714285714,3,0.21937050547286324,1,5,426,7.0,7.0,3.0,7.0,7.0,3.0,11.0,4.0,6.125,2.6958963523950885,9.0,9.0
84,greek000030,Phoenissae,iokaste,0.11851851851851854,6,0.7142857142857143,8,0.32311257265580595,3,48,1671,3.0,3.0,3.0,3.0,5.0,2.0,5.0,2.0,3.25,1.164964745021435,4.0,5.0
85,greek000030,Phoenissae,paidagogos,0.0,2,0.5,2,0.12633139112717282,1,17,307,11.0,11.0,7.0,11.0,11.0,7.0,10.0,10.0,9.75,1.7525491637693282,11.0,8.0
86,greek000030,Phoenissae,antigone,0.10925925925925926,6,0.7142857142857143,9,0.35887364407489825,3,69,1051,3.0,3.0,4.0,2.0,3.0,2.0,2.0,4.0,2.875,0.8345229603962802,3.0,2.0
87,greek000030,Phoenissae,choros,0.3018518518518518,9,0.9090909090909091,13,0.47050098163377957,9,34,1202,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.875,1.807721533549109,1.0,9.0
88,greek000030,Phoenissae,polyneikes,0.0,3,0.5882352941176471,3,0.1942780874033262,1,51,890,8.0,8.0,7.0,8.0,10.0,7.0,3.0,6.0,7.125,2.03100960115899,8.0,10.0
89,greek000030,Phoenissae,eteokles,0.016666666666666666,4,0.625,4,0.25517423201412365,2,50,792,6.0,6.0,5.0,6.0,7.0,5.0,4.0,7.0,5.75,1.0350983390135313,6.0,3.0
90,greek000030,Phoenissae,kreon,0.12962962962962962,7,0.7692307692307693,8,0.3896381824788273,3,80,937,2.0,2.0,2.0,3.0,2.0,2.0,1.0,5.0,2.375,1.1877349391654208,2.0,6.0
